GeoName,Year,variable,value,pop_i,pop_j,euc_dist,per_cap_per_inc,Tot_emp,per_cap_per_inc_j,Tot_emp_j,Dest_fact,Orig_fact
Alabama,6,Connecticut,566,4866824,3579830,16.6389979271702,39509,2619796,69886,2300038,1,6
Alabama,6,Delaware,0,4866824,949989,12.9116523638172,39509,2619796,48781,578698,1,7
Alabama,6,District of Columbia,97,4866824,687576,11.5610073218641,39509,2619796,77629,891545,1,8
Alabama,6,Florida,16631,4866824,20627237,5.9891092977696,39509,2619796,46042,11673482,1,9
Alabama,6,Georgia,23008,4866824,10308442,3.38468634544483,39509,2619796,42868,5971967,1,10
Alabama,6,Idaho,212,4866824,1684036,30.1514969123515,39509,2619796,40527,976764,1,11
Alabama,6,Illinois,3707,4866824,12821709,7.65107542935861,39509,2619796,52413,7799138,1,12
Alabama,6,Indiana,1445,4866824,6637898,7.1391186758849,39509,2619796,43648,3847689,1,13
Alabama,6,Iowa,671,4866824,3133210,11.4329651547189,39509,2619796,46520,2066316,1,14
Alabama,6,Kansas,1261,4866824,2912977,12.8793229857087,39509,2619796,47355,1916428,1,15
Alabama,6,Kentucky,1590,4866824,4440306,4.98109752055639,39509,2619796,39735,2498847,1,16
Alabama,6,Louisiana,1508,4866824,4681346,5.44294212410297,39509,2619796,42499,2690820,1,17
Alabama,6,Maine,151,4866824,1332348,21.6371863825477,39509,2619796,44797,826669,1,18
Alabama,6,Maryland,1903,4866824,6007014,11.837388505843,39509,2619796,58974,3655889,1,19
Alabama,6,Massachusetts,330,4866824,6827280,17.746086068917,39509,2619796,65689,4709906,1,20
Alabama,6,Michigan,2195,4866824,9954117,10.917835980458,39509,2619796,44621,5575625,1,21
Alabama,6,Minnesota,122,4866824,5525360,15.4570772246487,39509,2619796,53058,3698285,1,22
Alabama,6,Mississippi,7602,4866824,2990595,2.83759875603229,39509,2619796,35640,1579873,1,23
Alabama,6,Missouri,2746,4866824,6091384,7.93854309848409,39509,2619796,44287,3700663,1,24
Alabama,6,Montana,294,4866824,1042137,26.8976490252795,39509,2619796,43970,667815,1,25
Alabama,6,Nebraska,33,4866824,1906483,15.648712917564,39509,2619796,49593,1310866,1,26
Alabama,6,Nevada,254,4866824,2919555,30.5412530271869,39509,2619796,45320,1725136,1,27
Alabama,6,New Hampshire,0,4866824,1343694,18.7425779288207,39509,2619796,56455,873134,1,28
Alabama,6,New Jersey,812,4866824,8873584,14.237834845523,39509,2619796,62823,5391330,1,29
Alabama,6,New Mexico,826,4866824,2092555,19.3491553431003,39509,2619796,39008,1092500,1,30
Alabama,6,New York,3047,4866824,19636391,15.208170555399,39509,2619796,61391,12259144,1,31
Alabama,6,North Carolina,6419,4866824,10161802,7.94015585266918,39509,2619796,42787,5829015,1,32
Alabama,6,North Dakota,0,4866824,756114,20.0220007332487,39509,2619796,51717,576908,1,33
Alabama,6,Ohio,2694,4866824,11640060,8.51861258777688,39509,2619796,45204,6931860,1,34
Alabama,6,Oklahoma,1169,4866824,3928143,11.0393904009315,39509,2619796,41868,2286701,1,35
Alabama,6,Oregon,498,4866824,4093271,35.5213487719158,39509,2619796,46548,2450362,1,36
Alabama,6,Pennsylvania,1008,4866824,12788468,12.1184321152575,39509,2619796,51793,7593966,1,37
Alabama,6,Rhode Island,0,4866824,1057816,17.6499276485593,39509,2619796,50604,632521,1,38
Alabama,6,South Carolina,2952,4866824,4963031,6.03630154561345,39509,2619796,40527,2700035,1,39
Alabama,6,South Dakota,52,4866824,863693,17.7552591495404,39509,2619796,48685,597414,1,40
Alabama,6,Tennessee,9960,4866824,6651277,3.09086542353073,39509,2619796,43591,3951095,1,41
