Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2014,West Virginia,1162,4843737,1850569,8.53620314180072,37256,2551872,36131,911516
Alabama,2014,Wisconsin,234,4843737,5753199,12.2642896797812,37256,2551872,44930,3585838
Alabama,2014,Wyoming,307,4843737,583159,23.1015547725307,37256,2551872,56649,406343
Alabama,2015,Arizona,1865,4854803,6832810,24.8817408146662,38871,2587451,39699,3547627
Alabama,2015,Arkansas,2329,4854803,2979732,5.99456062204918,38871,2587451,39491,1610805
Alabama,2015,California,3397,4854803,38904296,33.0855664512805,38871,2587451,55853,22687196
Alabama,2015,Colorado,1927,4854803,5454328,19.7223165819368,38871,2587451,52219,3574243
Alabama,2015,Connecticut,894,4854803,3588561,16.6389979271702,38871,2587451,68340,2288113
Alabama,2015,Delaware,77,4854803,942065,12.9116523638172,38871,2587451,47976,568952
Alabama,2015,District of Columbia,521,4854803,677014,11.5610073218641,38871,2587451,75277,873232
Alabama,2015,Florida,15755,4854803,20219111,5.9891092977696,38871,2587451,45251,11367160
Alabama,2015,Georgia,27433,4854803,10183353,3.38468634544483,38871,2587451,41784,5832585
Alabama,2015,Idaho,0,4854803,1652495,30.1514969123515,38871,2587451,39748,949506
Alabama,2015,Illinois,2400,4854803,12859585,7.65107542935861,38871,2587451,51751,7748868
Alabama,2015,Indiana,1184,4854803,6611442,7.1391186758849,38871,2587451,42630,3796419
Alabama,2015,Iowa,478,4854803,3122541,11.4329651547189,38871,2587451,46274,2059837
Alabama,2015,Kansas,1277,4854803,2910717,12.8793229857087,38871,2587451,47315,1910954
Alabama,2015,Kentucky,1365,4854803,4429126,4.98109752055639,38871,2587451,39172,2473915
Alabama,2015,Louisiana,1566,4854803,4666998,5.44294212410297,38871,2587451,42878,2696590
Alabama,2015,Maine,97,4854803,1329098,21.6371863825477,38871,2587451,43595,816552
Alabama,2015,Maryland,1435,4854803,5988528,11.837388505843,38871,2587451,57007,3602936
Alabama,2015,Massachusetts,446,4854803,6797484,17.746086068917,38871,2587451,63588,4631417
Alabama,2015,Michigan,2540,4854803,9934483,10.917835980458,38871,2587451,43465,5501549
Alabama,2015,Minnesota,193,4854803,5484002,15.4570772246487,38871,2587451,52336,3662852
Alabama,2015,Mississippi,7442,4854803,2990231,2.83759875603229,38871,2587451,35185,1568218
Alabama,2015,Missouri,1174,4854803,6075411,7.93854309848409,38871,2587451,43127,3655804
